client,action,command_sites,tool_calls,session_ids,example_evidence_id
aws,configure list-profiles,2,2,2,E-098a4227276b033a
aws,ec2 describe-volumes,1,1,1,E-8b0b14f8999a25d1
aws,ecr batch-get-image,1,1,1,E-38df729d3bcfc2a5
aws,ecr describe-images,1,1,1,E-d7894a55ce2425ea
aws,sso login,1,1,1,E-f7740a672335d650
aws,sts get-caller-identity,8,7,1,E-107daa8c1d7958bd
connectors,admin,1,1,1,E-5057fc69f72acb96
connectors,admin credentials,2,2,1,E-13090d8fb31eec6f
connectors,admin integrations,2,2,2,E-5a7d498dbb542565
connectors,auth,2,2,1,E-169d049ff8a96104
connectors,auth help,3,2,2,E-190ef60b0c8ee693
connectors,auth status,5,5,3,E-6165cd128085d3dc
connectors,completions,11,4,1,E-5057fc69f72acb96
connectors,connect,1,1,1,E-bf9280be1654667f
connectors,connection activate,1,1,1,E-370e750049e0b0e2
connectors,connection candidates,8,8,5,E-0d335314890532e1
connectors,connection list,31,31,12,E-11b87e42fd15f437
connectors,connection search,1,1,1,E-2f6c1bd877ed554c
connectors,describe,1,1,1,E-fa0181d92791d11c
connectors,describe confluence-page-search,1,1,1,E-383b29a5e32523f3
connectors,describe confluence-space-list,1,1,1,E-9d625822661824f9
connectors,describe gitlab-branch-list,18,18,5,E-3e81bd3e70609072
connectors,describe gitlab-branches-list,1,1,1,E-7ac39011fd48dfa5
connectors,describe gitlab-group-get,3,3,2,E-598e73023e6ccc2e
connectors,describe gitlab-group-list,3,3,2,E-218e56bdf2e40edb
connectors,describe gitlab-merge-request-get,4,4,4,E-0d26b3b22c7998be
connectors,describe gitlab-merge-request-list,4,4,2,E-687001c69ea8abc4
connectors,describe gitlab-pipeline-get,13,13,3,E-31f9d73bda03a82b
connectors,describe gitlab-pipeline-schedule-list,1,1,1,E-8468aaa157f8f4b3
connectors,describe gitlab-project-get,14,14,8,E-0f3964011a82852c
connectors,describe gitlab-project-list,20,20,9,E-05de42f7342a32e7
connectors,describe gitlab-repository-file-get,13,13,6,E-0048b8c50293b67f
connectors,describe gitlab-repository-tree-list,4,4,3,E-04cb9ae54b196e2b
connectors,describe gitlab-user-get,1,1,1,E-329a5a2563f38fad
connectors,describe grafana-datasource-query,6,6,3,E-794f8054d998e69e
connectors,describe grafana-datasources-list,6,6,4,E-08c33a7e736419a6
connectors,describe jira-issue-comment-list,1,1,1,E-31caca5c8be6df52
connectors,describe jira-issue-get,13,13,3,E-07efd8a7d95589d4
connectors,describe jira-issue-search,2,2,1,E-1f218f3d58ab541e
connectors,describe jira-project-list,2,2,1,E-59048f58c43131a3
connectors,describe kubernetes,1,1,1,E-56f12bf737939830
connectors,describe kubernetes.deployment.status,1,1,1,E-f60c087fd7d427e4
connectors,describe loki-query-range,1,1,1,E-388a0593a4edf417
connectors,describe slack-admin-conversations-search,1,1,1,E-54bc1272fcf48e5e
connectors,describe slack-chat-post-message,82,82,7,E-04d38cb00a05d41b
connectors,describe slack-conversations-history,8,8,3,E-042fd6f51a39bdbc
connectors,describe slack-conversations-info,5,5,3,E-18a4d2d497264a91
connectors,describe slack-conversations-list,1,1,1,E-22cc5e1a9aefc94a
connectors,describe slack-conversations-replies,10,10,6,E-04e5f35a8992530e
